iter	Passed	Remaining
963	8727	325
964	8735	316
965	8744	307
966	8752	298
967	8761	289
968	8771	280
969	8781	271
970	8788	262
971	8797	253
972	8806	244
973	8815	235
974	8824	226
975	8832	217
976	8840	208
977	8848	199
978	8856	189
979	8863	180
980	8871	171
981	8881	162
982	8891	153
983	8901	144
984	8911	135
985	8920	126
986	8928	117
987	8937	108
988	8946	99
989	8957	90
990	8966	81
991	8976	72
992	8985	63
993	8994	54
994	9003	45
995	9012	36
996	9020	27
997	9028	18
998	9037	9
999	9045	0
